RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID
14054169,EFILE,42662873,201603,1/4/2017 10:27:37 AM,ELKS BUILDING CORP OF NORWOOD,990O,93493243000066,201612439349300006
14056200,EFILE,42964630,201512,1/4/2017 8:17:38 PM,NEIGHBORHOOD OF AFFORDABLE HOUSING INC,990,93493243000266,201612439349300026
14055992,EFILE,382912028,201512,1/4/2017 6:07:44 PM,RELEAF MICHIGAN INC,990,93493243003416,201612439349300341
14056203,EFILE,200509226,201605,1/4/2017 8:17:39 PM,ST MICHAEL ALBERTVILLE FOOTBALL BOOSTER CLUB,990,93493243005166,201612439349300516
14057332,EFILE,202699020,201512,1/4/2017 11:23:48 PM,KARLA SMITH FOUNDATION,990,93493243005466,201612439349300546
14053715,EFILE,251525572,201512,1/4/2017 8:50:35 AM,ENTERPRISE DEVELOPMENT FUND OF ERIE COUNTY INC,990,93493243006016,201612439349300601
14055995,EFILE,810593280,201512,1/4/2017 6:07:45 PM,HCANJ FOUNDATION INC,990,93493243006216,201612439349300621
14054314,EFILE,561434187,201606,1/4/2017 10:51:40 AM,ROSEWOOD VOLUNTEER FIRE DEPT INC,990O,93493243007466,201612439349300746
14053718,EFILE,936027198,201606,1/4/2017 8:50:37 AM,EUGENE ROTARY SCHOLARSHIP FOUNDATION,990,93493243008616,201612439349300861
14055296,EFILE,274351424,201512,1/4/2017 1:52:48 PM,JOHN AND MARGARET SNYDER FOUNDATION,990PF,93491244006016,201612449349100601
14055010,EFILE,205694378,201605,1/4/2017 1:24:05 PM,JESSE N SMITH HERITAGE FOUNDATION,990PF,93491244007066,201612449349100706
14057702,EFILE,510183497,201512,1/5/2017 12:32:15 AM,CARRIAGE TRAVEL CLUB INC,990EO,93492244000016,201612449349200001
14054110,EFILE,272212300,201512,1/4/2017 10:13:23 AM,NAZARETH FOOTBALL BOOSTER CLUB,990EZ,93492244001016,201612449349200101
14057937,EFILE,274033935,201512,1/5/2017 1:11:05 AM,NATIVIDAD MEDICAL STAFF CO AMISH A SHAH,990EO,93492244001116,201612449349200111
14057181,EFILE,273276308,201512,1/4/2017 11:08:15 PM,FIVE LOAVES AND TWO FISH FOOD PANTRY,990EZ,93492244001216,201612449349200121
14054425,EFILE,930717774,201606,1/4/2017 11:14:09 AM,SHERMAN PRESCHOOL,990EZ,93492244007566,201612449349200756
14054870,EFILE,472143570,201512,1/4/2017 12:21:03 PM,MAUI POLICE ACTIVITIES LEAGUE,990EZ,93492244007616,201612449349200761
14057189,EFILE,746068016,201606,1/4/2017 11:08:18 PM,ALAMO REGIONAL ACADEMY OF SCIENCE AND ENGINEERING,990EZ,93492244008066,201612449349200806
14054814,EFILE,480119830,201606,1/4/2017 12:12:44 PM,AMERICAN LEGION 004,990EO,93492244009066,201612449349200906
14053719,EFILE,204212837,201512,1/4/2017 8:50:37 AM,GREATER GALILEE LEARNING CENTER,990,93493244002166,201612449349300216
14057333,EFILE,954820311,201607,1/4/2017 11:23:48 PM,VAN NUYS HIGH SCHOOL MAGNET PARENTS ASSOCIATION,990,93493244003366,201612449349300336
14056925,EFILE,631282125,201512,1/4/2017 10:47:46 PM,ALABAMA PROBATE JUDGES ASSOCIATION,990O,93493244004066,201612449349300406
14055998,EFILE,411375036,201512,1/4/2017 6:07:47 PM,ANOKA COUNTY HISTORICAL SOCIETY,990,93493244006066,201612449349300606
14053069,EFILE,946181807,201512,1/4/2017 7:36:59 AM,BOY SCOUTS OF AMERICA INC TRUST FUND MT DIABLO SILVERADO COUNCIL TRUST,990,93493244006366,201612449349300636
14056207,EFILE,412164361,201512,1/4/2017 8:17:41 PM,WEST RHODE RIVERKEEPER INC,990,93493244007566,201612449349300756
14054174,EFILE,221936892,201604,1/4/2017 10:27:39 AM,SOUTH JERSEY MECHANICAL CONTRACTORS ASSOCIATION INDUSTRY FUND,990O,93493244007866,201612449349300786
14054319,EFILE,436050205,201512,1/4/2017 10:51:42 AM,NEWTON COUNTY AGRICULTURAL AND MECHANICAL SOCIETY,990O,93493244010616,201612449349301061
14053724,EFILE,42466767,201510,1/4/2017 8:50:39 AM,HOLYOKE-CHICOPEE- SPRINGFIELD HEAD START INC,990,93493244010716,201612449349301071
14053987,EFILE,630797410,201606,1/4/2017 9:57:25 AM,AMERICAN ASSOCIATION OF SURGICAL PHYSICIAN ASSISTANTS INC,990O,93493244010766,201612449349301076
14058214,EFILE,461551595,201512,1/5/2017 5:39:10 AM,5G FOUNDATION,990PF,93491245003216,201612459349100321
14057240,EFILE,460305857,201512,1/4/2017 11:12:11 PM,PLATTE AMBULANCE SERVICE,990EZ,93492245001116,201612459349200111
14054752,EFILE,546053668,201606,1/4/2017 12:04:12 PM,ROTARY CLUB OF WILLIAMSBURG INC,990EO,93492245002066,201612459349200206
14054084,EFILE,455227971,201512,1/4/2017 10:11:23 AM,GULF COAST GUJARATI SAMAJ INC,990EZ,93492245003216,201612459349200321
14057243,EFILE,270290159,201512,1/4/2017 11:12:12 PM,COMMON SENSE ALLIANCE,990EZ,93492245004316,201612459349200431
14054756,EFILE,592745800,201603,1/4/2017 12:04:13 PM,SUNLAKE SOCIAL CLUB,990EO,93492245005066,201612459349200506
14057247,EFILE,272166603,201512,1/4/2017 11:12:13 PM,BRIDGEWATER PBA LOCAL 174 CIVIC ASSOCIATION INC,990EZ,93492245007116,201612459349200711
14056139,EFILE,952058103,201606,1/4/2017 7:43:12 PM,DOWNEY SYMPHONIC SOCIETY INC,990,93493245002416,201612459349300241
14056928,EFILE,465215047,201512,1/4/2017 10:47:47 PM,DEARBORN SCHOOLS EMPLOYEE HEALTHCARE PROGRAM VOLUN,990O,93493245003016,201612459349300301
